entity,n_with,mean_target_with,enc_with,global_mean_with,n_without,mean_target_without,enc_without,global_mean_without,obs_gained,enc_abs_diff,entity_col
BIG BAD BOB,31,9.333046872128849,9.346894386136167,9.389821679558855,31,9.333046872128849,9.343871462062031,9.377427690854901,0,0.0030229240741359575,sire_target_enc
BIG SHUFFLE,1,9.305650551780507,9.382169758851733,9.389821679558855,1,9.305650551780507,9.370902496393592,9.377427690854901,0,0.011267262458140692,sire_target_enc
BIRCHWOOD,1,9.998797732340453,9.445183138902637,9.389821679558855,1,9.998797732340453,9.433915876444496,9.377427690854901,0,0.011267262458140692,sire_target_enc
BIRDSTONE,4,9.277923480505349,9.357850765543569,9.389821679558855,3,8.98194736833926,9.2861630010436,9.377427690854901,1,0.07168776449996983,sire_target_enc
BLACK MAMBO,1,8.779557455883728,9.334343113770208,9.389821679558855,1,8.779557455883728,9.323075851312067,9.377427690854901,0,0.011267262458140692,sire_target_enc
BLACK MINNALOUSHE,2,10.356607750546456,9.550952691390123,9.389821679558855,1,9.998797732340453,9.433915876444496,9.377427690854901,1,0.11703681494562623,sire_target_enc
BLACK SAM BELLAMY,2,9.836721856223868,9.464305042336358,9.389821679558855,2,9.836721856223868,9.453976718416396,9.377427690854901,0,0.010328323919962301,sire_target_enc
BLAME,5,9.18636733160404,9.322003563573917,9.389821679558855,5,9.18636733160404,9.313740904437948,9.377427690854901,0,0.00826265913596913,sire_target_enc
BLUE POINT,47,9.92652926877339,9.832370042595402,9.389821679558855,46,9.871270407007644,9.783084207694655,9.377427690854901,1,0.049285834900747005,sire_target_enc
BOBBY'S KITTEN,21,9.095083353599277,9.190160232941077,9.389821679558855,19,9.01916466882407,9.14270364193815,9.377427690854901,2,0.047456591002926984,sire_target_enc
BOREAL,1,8.517193191416238,9.310491817000436,9.389821679558855,1,8.517193191416238,9.299224554542295,9.377427690854901,0,0.011267262458140692,sire_target_enc
BORN TO SEA,21,9.327278212798227,9.347453524656494,9.389821679558855,19,9.249387568265899,9.2935393346759,9.377427690854901,2,0.05391418998059372,sire_target_enc
BORREGO,1,9.259130536145614,9.377940666521289,9.389821679558855,1,9.259130536145614,9.366673404063148,9.377427690854901,0,0.011267262458140692,sire_target_enc
